,DECLAREDATE,ENDDATE,F001D,F002V,F003V,F004V,F005V,F006N,F007N,F008N,F009N,F010N,F011N,F012N,F013N,F014N,F015N,F016N,F017N,F018N,F019N,F020N,F021N,F022N,F023N,F024N,F025N,F026N,F027N,F028N,F029N,F030N,F031N,F032N,F033N,F034N,F035N,F036N,F037N,F038N,F039N,F040N,F041N,F042N,F043N,F044N,F045N,F046N,F047N,F048N,F049N,F050N,F051N,F052N,F053N,F054N,F055N,F056N,F057N,F058N,F059N,F060N,F061N,F062N,F063N,F064N,F065N,F066N,F067N,F068N,F069N,F070N,F071N,F072N,F073N,F074N,F075N,F076N,F077N,F078N,F079N,F080N,F081N,F082N,F083N,F084N,F085N,F086N,F087N,F088N,F089N,F090N,F091N,F092N,F093N,F094N,F095N,F096N,F097N,F098N,F099N,F100N,F101N,F102N,F103N,F104N,F105N,MEMO,ORGNAME,SECCODE,SECNAME
0,2018-03-31,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,27169118000.0,,7427488000.0,13454511000.0,1587366000.0,1140133000.0,,,,15626897000.0,,,43529597000.0,120621320000.0,5187732000.0,,33868000.0,2211732000.0,494122000.0,21056791000.0,580729000.0,,,,,6868538000.0,,5730995000.0,625971000.0,3030383000.0,4158530000.0,49979391000.0,170600711000.0,3024426000.0,,18484939000.0,25356960000.0,10252375000.0,3154387000.0,2364446000.0,21343000.0,105641000.0,1571422000.0,,158545000.0,24562970000.0,89184000000.0,2254348000.0,4818769000.0,366881000.0,2405000.0,325217000.0,1831973000.0,888152000.0,12440015000.0,101624015000.0,6458767000.0,13596569000.0,2804469000.0,38105391000.0,0.0,7849773000.0,,,68976696000.0,170600711000.0,,61126923000.0,13125000.0,502316000.0,148602000.0,,,10273397000.0,412813000.0,,,,,,0.0,,36708000.0,,89838000.0,,,,,,,,,,,,1449954000.0,,,,,美的集团股份有限公司,000333,美的集团
1,2018-03-20,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,1171716065.13,36482191.71,18243828.59,643723856.12,68469876.48,25949042.96,,7951841.34,30690100.47,198215945.8,,,536216485.36,2737659233.96,123721086.51,,,168602782.9,20422222.14,287683315.91,193383845.16,,,,,105968624.59,153236632.66,,,18044965.27,272549565.26,1343613040.4,4081272274.36,,,,30914348.7,8335320.52,7840573.3,46846027.29,,,15770558.44,,,3958811.68,113665639.93,,,,,,4063783.0,,37525689.1,151191329.03,684900000.0,7473743.19,405063377.66,2787725294.79,,33568251.2,,,3930080945.33,4081272274.36,,3896512694.13,11350278.49,33461906.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北京双鹭药业股份有限公司,002038,双鹭药业
2,2018-03-30,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,715391085.26,,302484599.28,643701767.29,24779636.86,12807609.96,,,,533585517.53,,,5730766.2,2238480982.38,83044136.05,,,,,320475369.02,1440418.39,,,,,428892170.92,567879694.53,806682282.14,10451755.39,9265314.32,,2228131140.76,4466612123.14,130000000.0,,148201971.23,162056947.36,4237022.56,103283453.58,27641807.86,69781.25,,5397750.79,,268182.0,,581156916.63,10000000.0,,,1530000.0,,19688547.51,,609621760.62,1190778677.25,606817968.0,625440108.41,97077592.06,1875482015.59,,82988983.99,,,3275833445.89,4466612123.14,,3192844461.9,-11973222.16,578403213.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紫光国芯股份有限公司,002049,紫光国芯
3,2018-04-02,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,197750145.03,1303696.3,133167695.93,443726948.87,82004809.91,21416354.34,,,,534353881.08,,,60848129.33,1474571660.79,375773006.97,,,419496616.21,221477.85,646170220.79,482016418.7,19049789.84,,,,250728761.02,2000000.0,17580321.04,67879.78,22348340.08,98717611.15,2334170443.43,3808742104.22,438634851.69,,105269036.5,278216048.78,62705172.52,21586672.48,166204083.6,491340.28,,17771149.39,,100000000.0,,1190878355.24,56000000.0,,,,,4816576.14,,127357929.04,1318236284.28,752695526.0,712356026.22,89165703.0,693798850.02,,2217392.56,,,2490505819.94,3808742104.22,1739979.1,2488288427.38,238532343.04,66541352.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江西赣锋锂业股份有限公司,002460,赣锋锂业
4,2018-03-24,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,1502275875.77,3916509.21,1218245145.73,208906621.45,39981072.01,24107298.13,,2149239.99,31521074.6,470805744.72,,,412228801.37,3914137382.98,1096431126.98,,,556029788.56,,1480235874.68,357136006.52,,,,,2854605734.77,,416100700.47,,277602754.01,253654950.57,7291796936.56,11205934319.54,1363692016.21,,72808157.04,226198083.78,151734375.5,78324094.25,333483069.29,13178346.9,609525.0,86552718.41,,143795450.86,498400000.0,2968775837.24,1335855305.66,598312601.61,,,175771268.15,278457695.9,10822086.2,2442632503.99,5411408341.23,994422200.0,2640998548.96,59775601.98,1695532166.01,81472950.0,1203211170.34,,,5794525978.31,11205934319.54,6047149.73,4591314807.97,-723987908.71,40264605.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3148940.97,,,,,天齐锂业股份有限公司,002466,天齐锂业
5,2018-03-20,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,539744519.22,,103931905.63,825216145.98,12742510.74,44450600.3,,,,533747346.14,,,54371599.17,2114204627.18,,,,36626474.84,,1012868353.25,357923503.84,,,,,116662059.1,52991130.5,314700059.08,16293317.51,19240607.24,346105931.32,2273411436.68,4387616063.86,623935783.52,,274644365.39,639131490.0,47028915.18,61836466.31,47995836.11,1183476.28,,4645106.92,,50598620.2,,1751000059.91,27043339.8,,375000000.0,,88793337.62,1385365.02,,542458314.77,2293458374.68,427104310.0,668637591.19,94086800.46,754449753.63,,149879233.9,,,2094157689.18,4387616063.86,,1944278455.28,,50236272.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,惠州亿纬锂能股份有限公司,300014,亿纬锂能
6,2018-02-28,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,3351699930.07,,,10042769.04,,53113155.02,,,,,,,145180356.78,3560036210.91,35572249.1,,,,,390133632.84,1237715.38,,,,,81946811.0,,3895328.16,366666.66,4182587.54,1800000.0,519134990.68,4079171201.59,,,,43056463.4,774057832.95,47409561.84,155380598.23,,,94618434.92,,,,1114522891.34,,,,,4299787.25,,234073.15,11467870.76,1125990762.1,537600000.0,356775876.82,210937061.61,1835618667.93,,,,,2953180439.49,4079171201.59,,2953180439.49,12248833.13,6934010.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浙江核新同花顺网络信息股份有限公司,300033,同花顺
7,2018-04-03,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,251540115.45,,274108809.62,512067972.71,10122513.52,2501924.23,,40950.0,,242625984.38,,,3784329.73,1296792599.64,2000000.0,,,53553276.23,80322597.57,344057799.76,15993667.55,,,,,23561136.18,2292323.68,313026576.41,897015.33,6550715.82,23757946.2,866013054.73,2162805654.37,251500113.9,,110209294.95,316730663.97,8004515.05,14945290.76,10397803.46,436782.47,,4860307.93,,,,717084772.49,,,60202000.0,,,1396361.17,,104812307.1,821897079.59,183034020.0,977479041.32,21265053.82,159059356.94,,,,,1340908574.78,2162805654.37,,1340908574.78,71102.7,43213945.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北京当升材料科技股份有限公司,300073,当升科技
8,2018-03-31,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,195895850.35,,4887293.28,40760953.19,3822296.68,480776.17,,,,46587482.54,,,166211163.87,458645816.08,,,,,,445092261.42,29837071.82,,,,,8502456.0,,,,1298929.71,,484730718.95,943376535.03,,,,20767654.42,1703342.63,3149603.89,836415.84,,,492065.99,,,1350795.51,28299878.28,,,,,,,,4785000.0,33084878.28,544338522.0,165230927.06,28264052.72,171306116.86,,,,,910291656.75,943376535.03,1152038.11,910291656.75,,4785000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河北建新化工股份有限公司,300107,建新股份
9,2018-03-31,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,206146388.15,,,15763891.02,10635528.06,1165383.17,,,,84530791.63,,,551017779.87,869259761.9,145040507.02,,,2164489.33,32947813.25,39165240.88,1922518.92,,,,,34183719.85,,,2248105.96,3526550.2,4369800.33,265568745.74,1134828507.64,,,,6521278.47,3491514.96,6186338.38,785987.13,,,3477868.15,,,,20462987.09,,,,,,,,16771843.84,37234830.93,166400000.0,739400078.85,32065231.58,160541593.9,,,,,1097593676.71,1134828507.64,,1097593676.71,-813227.62,16771843.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北京君正集成电路股份有限公司,300223,北京君正
10,2018-03-24,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,700542000000.0,55972000000.0,,,,,,26251000000.0,,,,,,,389138000000.0,477064000000.0,,3712000000.0,1701000000.0,43068000000.0,,,,,,3914000000.0,,,,31010000000.0,,,5942311000000.0,,23576000000.0,,,,7048000000.0,19523000000.0,36246000000.0,,,,,,,,275082000000.0,,,,897000000.0,,,5538949000000.0,25220000000.0,67523000000.0,39708000000.0,199110000000.0,0.0,1012000000.0,,,403362000000.0,5942311000000.0,,402350000000.0,,,67838000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,招商银行股份有限公司,600036,招商银行
11,2018-03-15,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,773258003.22,8313720.0,,23981620.02,87272347.18,50094446.3,,2226837.94,,570411498.75,,,224532173.13,1740090646.54,191087860.0,,,2095894.87,,2563183979.91,,16924127.53,,,,79554151.49,,,11530419.97,,,2864376433.77,4604467080.31,250000000.0,5926192.39,71951357.53,230998514.18,82074757.05,14990331.44,46418690.77,3202090.28,,34343680.95,,,,739905614.59,,,,,,,,,739905614.59,1680183431.0,1860461453.63,15385687.15,61891920.62,,47089066.14,,,3864561465.72,4604467080.31,,3817472399.58,199549907.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹏欣环球资源股份有限公司,600490,鹏欣资源
12,2018-03-28,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,66854962118.22,,817627172.0,,1046100696.92,77227565.37,,140904856.88,,20622251825.55,,,231474570.63,90180548805.57,29000000.0,,,,,14453177439.34,2745579995.68,,,,,3531740625.6,,,188118776.51,1745539120.68,,22753989474.84,112934538280.41,,,,1040608203.18,17541082237.01,1628507252.03,4272289194.57,34481635.33,,1724638571.44,,,,37020425425.69,,,,15570000.0,,,,15570000.0,37035995425.69,1256197800.0,1374964415.72,7135649963.12,62717808036.61,,3004405071.47,,,75898542854.72,112934538280.41,,72894137783.25,-11240841.56,,420758409.36,,390000000.0,,,,,,,,60833517.03,,10778818332.13,,,,,,,,,,,,,,,,,,,贵州茅台酒股份有限公司,600519,贵州茅台
13,2018-03-27,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,343463455.46,16617562.81,,261669090.39,11744275.8,38040033.83,,,,51801449.24,,,1599326922.57,2361476442.13,1045762754.97,,,627816094.2,14756546.28,337426147.78,2938060.2,,,,,22558328.98,,,8814178.86,17219105.39,109710000.0,2187001216.66,4548477658.79,,,,50252360.87,1056039599.85,285551081.08,16010984.65,,,548227885.35,,,,1956081911.8,,,,,6869917.79,15257927.39,,74888501.15,2030970412.95,617805180.0,220273745.32,307122421.73,1111356900.05,,116547416.89,,,2517507245.84,4548477658.79,,2400959828.95,144401581.85,52760655.97,,,,,,,,,,38813652.03,,,,,,,,,,,,,,,,,,,,,,恒生电子股份有限公司,600570,恒生电子
14,2018-03-21,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,569683000000.0,153963000000.0,,,,,,44950000000.0,,,,,,,537241000000.0,1009714000000.0,,48955000000.0,42396000000.0,36147000000.0,,,,,,36550000000.0,,,,28292000000.0,,,5576903000000.0,56904000000.0,25883000000.0,,22353000000.0,6582000000.0,30892000000.0,28848000000.0,24582000000.0,,,,,,,71258000000.0,349825000000.0,,,666000000.0,11274000000.0,,,5090442000000.0,18280000000.0,122510000000.0,11366000000.0,175932000000.0,,103012000000.0,,,486461000000.0,5576903000000.0,,383449000000.0,,,36799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中国平安保险(集团)股份有限公司,601318,中国平安
15,2018-03-23,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,67318000000.0,209126000000.0,,,,,,55929000000.0,,,,,,,766423000000.0,594730000000.0,,119766000000.0,1191000000.0,19356000000.0,10548000000.0,,,,,6062000000.0,,,,,,,2696951000000.0,731000000.0,2031000000.0,,,,7888000000.0,1871000000.0,,,,,,,,15439000000.0,37998000000.0,,,,7768000000.0,,,2389303000000.0,28265000000.0,55007000000.0,58391000000.0,122558000000.0,,4027000000.0,,,307648000000.0,2696951000000.0,,303621000000.0,,,27241000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他应收款调入其他资产；其他应付款调入其他负债,中国人寿保险股份有限公司,601628,中国人寿
16,2018-03-30,2016-12-31,2017-12-31,071002,合并上期,033003,定期报告,9970224098.0,55599027.64,950861625.2,1461807199.82,295572093.16,1147039318.23,,40492844.02,,5082767464.99,,,798592555.76,19802956226.82,3000602505.46,,,1191499274.81,,27272921262.94,695359036.41,,,,,24501313984.47,,892326161.92,115247374.61,432121448.24,10020013836.7,68121404885.56,87924361112.38,4372433477.73,2821441764.4,660000000.0,741508273.3,51867495.95,354822152.84,57861242.29,183684249.15,27885796.67,1416775815.12,,2584497370.05,2708897188.46,15981674825.96,23376879939.49,2000000000.0,,,1757793672.39,9832650420.12,514850853.14,37605759319.05,53587434145.01,3377439739.8,10720306602.38,840098875.14,3508788628.94,,15598868743.75,,,34336926967.37,87924361112.38,8570089.43,18738058223.62,282854287.93,80305706.76,,,,,,,,,,,,,,,,,,,,,,,,,,,43278727.15,,,,长期存货调入其他非流动资产。,洛阳栾川钼业集团股份有限公司,603993,洛阳钼业
