,DECLAREDATE,ENDDATE,F001D,F002V,F003V,F004V,F005V,F006N,F007N,F008N,F009N,F010N,F011N,F012N,F013N,F014N,F015N,F016N,F017N,F018N,F019N,F020N,F021N,F022N,F023N,F024N,F025N,F026N,F027N,F028N,F029N,F030N,F031N,F032N,F033N,F034N,F035N,F036N,F037N,F038N,F039N,F040N,F041N,F044N,F045N,F046N,F047N,F048N,F049N,F050N,F051N,F052N,F053N,F054N,F055N,F056N,F057N,F058N,F059N,F060N,F062N,F063N,F064N,F066N,F067N,F068N,F069N,F070N,F071N,F072N,F073N,F074N,F075N,F076N,F077N,F078N,F079N,F080N,F081N,F082N,F083N,F084N,F085N,F086N,F087N,F088N,F089N,F090N,F091N,ORGNAME,SECCODE,SECNAME,STARTDATE
0,2018-03-31,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,195820338000.0,5476543000.0,4771036000.0,207315612000.0,116508042000.0,22740541000.0,11139448000.0,29139920000.0,182872989000.0,24442623000.0,85127382000.0,2727603000.0,1441101000.0,,,89296086000.0,3218402000.0,94967122000.0,25850170000.0,,124035694000.0,-34739608000.0,1668205000.0,62169886000.0,,63838091000.0,36074251000.0,7908056000.0,204139000.0,44186446000.0,19651645000.0,-36737000.0,,9317923000.0,12513730000.0,21831653000.0,18611190000.0,269112000.0,6695877000.0,,,-1327251000.0,,25045000.0,32845000.0,-1830221000.0,-635894000.0,-1055005000.0,-7730304000.0,-10314517000.0,20860180000.0,841566000.0,24442623000.0,,,,21831653000.0,12513730000.0,,,,9317923000.0,72218000.0,,,,,,,,,1175477000.0,,,1933348000.0,1158040000.0,,253650000.0,,43052000.0,815164000.0,,美的集团股份有限公司,000333,美的集团,2017-01-01
1,2018-03-20,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,1478183815.63,,53819554.46,1532003370.09,428033138.86,68941920.12,227824572.43,426479384.67,1151279016.08,380724354.01,296026818.47,19433147.73,72641.6,,,315532607.8,229649344.23,64845455.7,,,294494799.93,21037807.87,,,2290000.0,2290000.0,,136980000.0,,136980000.0,-134690000.0,16866.16,,267089028.04,1171716065.13,1438805093.17,528758517.96,4882173.19,30221225.51,7267349.68,624423.37,41541.49,,-28889924.29,,-192417826.36,-5760999.9,2939133.27,-77479832.97,46246100.54,64292472.52,,380724354.01,,,,1438805093.17,1171716065.13,,,,267089028.04,,,,,,,,,,,,,,,,,,,,,北京双鹭药业股份有限公司,002038,双鹭药业,2017-01-01
2,2018-03-30,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,1802578836.44,22849073.34,226037907.83,2051465817.61,1006257854.23,258750787.15,125234673.42,76987787.36,1467231102.16,584234715.45,,2688450.27,586479.0,,10000000.0,13274929.27,303419885.6,,,3100000.0,306519885.6,-293244956.33,,252700000.0,,252700000.0,138130909.0,43682456.21,73033133.87,254846499.08,-2146499.08,-14232298.14,,274610961.9,715391085.26,990002047.16,278733517.72,-121744.51,51135863.64,80307029.2,2662026.67,123913.65,14709.06,0.0,23812814.6,-2688450.27,2510828.94,-1346276.35,-66959283.41,-140039635.79,356089402.3,,584234715.45,0.0,0.0,0.0,990002047.16,715391085.26,0.0,0.0,,274610961.9,,,,,,,,,,,,,,,,,,,,,紫光国芯股份有限公司,002049,紫光国芯,2017-01-01
3,2018-04-02,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,3462424378.78,336501.37,58614964.95,3521375845.1,2337506593.43,192112380.29,399534303.89,88356502.91,3017509780.52,503866064.58,238207800.19,5668687.87,2832029.67,,12000000.0,258708517.73,352915348.56,726834990.94,19150512.06,,1098900851.56,-840192333.83,588377715.0,3412979239.1,68353125.0,4987710079.1,2448042870.45,117109561.81,85895095.34,2651047527.6,2336662551.5,-4167259.47,,1996169022.78,169182841.98,2165351864.76,1468579965.67,29530004.42,94404445.05,11739191.47,2129156.5,12590734.29,,-21041054.96,48341043.83,-257476152.44,3455824.25,48221627.04,-416627165.5,-782509075.06,269352209.84,-6824689.82,503866064.58,,,,2165351864.76,169182841.98,,,,1996169022.78,,,,,918000000.0,,,,,,,,,,,,,,,,江西赣锋锂业股份有限公司,002460,赣锋锂业,2017-01-01
4,2018-03-24,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,5531977216.85,180137642.68,73136971.9,5785251831.43,1130615820.1,241796005.27,1123373492.28,194847635.48,2690632953.13,3094618878.3,2919000000.0,74663537.16,1014745.34,,600000.0,2995278282.5,1559526548.48,2702641246.36,,201918442.67,4464086237.51,-1468807955.01,1604468927.16,4138078897.22,26663893.36,5769211717.74,3018249542.28,463825091.23,23185483.09,3505260116.6,2263951601.14,-82162738.36,,3807599786.07,1468367763.14,5275967549.21,2611629261.58,7105479.57,169310985.86,65163025.66,,19845035.37,,6539055.07,87495717.57,-26629821.42,21250965.68,86416196.05,-6276465.54,-294170994.95,346940437.8,,3094618878.3,,,,5275967549.21,1468367763.14,,,,3807599786.07,,,,,,,,,,,,,,,,,,,129626924.09,,天齐锂业股份有限公司,002466,天齐锂业,2017-01-01
5,2018-03-20,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,2232841050.87,57878959.28,296540790.66,2587260800.81,1651502412.23,535597092.13,117150939.15,202020638.31,2506271081.82,80989718.99,,17431596.15,7880009.36,8507377.22,,33818982.73,1389950425.0,239477096.97,143850942.41,,1773278464.38,-1739459481.65,149602035.93,1572886678.89,531502342.24,2253991057.06,708961254.76,132696374.03,30000000.0,871657628.79,1382333428.27,-788216.96,,-276924551.35,516014205.89,239089654.54,433069910.78,66119722.69,116653630.52,15808838.56,4037266.38,7561421.58,,,59342061.87,-193428655.25,-33762664.28,759815.32,-476189555.39,-526235950.83,569080208.79,38173668.25,80989718.99,726070000.0,,,239089654.54,474392205.89,0.0,41622000.0,,-276924551.35,,,,,,,,,,,,,,,,,,,,,惠州亿纬锂能股份有限公司,300014,亿纬锂能,2017-01-01
6,2018-02-28,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,1446529886.4,15040335.23,69707174.97,1531277396.6,126454503.97,490947550.99,259377020.28,75231759.0,952010834.24,579266562.36,,42812125.87,,,42202354.0,85014479.87,27890598.95,,,31511387.74,59401986.69,25612493.18,,,,,,483840000.0,,483840000.0,-483840000.0,-24812207.42,,96226848.12,3266193772.96,3362420621.08,725653800.79,33748.61,36313184.35,2176563.0,239308.18,0.0,125361.84,,-3035025.23,-42800738.13,1923206.15,,,2733148.41,-138225827.74,-5870167.87,579266562.36,,,,3362420621.08,3266193772.96,,,,96226848.12,,,,,,,,,,,,,,,,,,,,,浙江核新同花顺网络信息股份有限公司,300033,同花顺,2017-01-01
7,2018-04-03,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,1136212758.78,11899797.98,21276970.74,1169389527.5,816728735.26,87000865.07,85939209.72,39720821.16,1029389631.21,139999896.29,23336250.0,26867562.29,70500.0,,,50274312.29,57951688.83,,,,57951688.83,-7677376.54,,520961763.24,3430000.0,524391763.24,414849531.87,34721606.63,,449571138.5,74820624.74,-7813765.91,,199329378.58,251540115.45,450869494.03,250174315.3,8296074.38,38361518.75,1405888.8,677529.66,413209.96,0.0,0.0,14831257.07,-115036395.66,-475761.58,-192041.9,-17562297.17,-175881106.21,134987704.89,,139999896.29,0.0,0.0,0.0,450869494.03,251540115.45,0.0,0.0,,199329378.58,,,,,,,,,,,,,,,,,,,,,北京当升材料科技股份有限公司,300073,当升科技,2017-01-01
8,2018-03-31,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,322140870.7,2594726.89,455001.92,325190599.51,149075690.91,52736709.5,12597910.38,20916837.78,235327148.57,89863450.94,668043787.89,12889190.43,1523816.4,,,682456794.72,37825242.27,645300000.0,,,683125242.27,-668447.55,8556200.0,,7030183.43,15586383.43,,16330155.66,7203345.06,23533500.72,-7947117.29,-1679256.92,,79568629.18,195895850.35,275464479.53,87075651.7,4253968.45,52164780.71,339131.28,,,5726333.97,,-3449028.24,-12744402.92,-965305.26,,-41041521.69,-61192820.59,58478308.68,1218354.85,89863450.94,,,,275464479.53,195895850.35,,,,79568629.18,,,,,,,,,,,,,,,,,,,,,河北建新化工股份有限公司,300107,建新股份,2017-01-01
9,2018-03-31,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,207305054.88,12370135.79,17777154.64,237452345.31,176628378.95,52502309.45,14662318.37,24353376.23,268146383.0,-30694037.69,3088209829.42,26082791.89,,,1050000.0,3115342621.31,28080257.82,3233773700.0,,61261.82,3261915219.64,-146572598.33,13242863.39,,,13242863.39,,,,,13242863.39,-273560.56,,-164297333.19,205096388.15,40799054.96,6501097.82,3370042.74,4320067.89,789133.71,810099.12,,400.0,,224095.78,-24143141.42,843073.15,,-23729790.2,445104.77,-4812721.05,4688500.0,-30694037.69,,,,40799054.96,205096388.15,,,,-164297333.19,,,,,,,,,,,,,,,,,,,,,北京君正集成电路股份有限公司,300223,北京君正,2017-01-01
10,2018-03-24,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,262296000000.0,,677517000000.0,677517000000.0,,34540000000.0,44617000000.0,604020000000.0,683177000000.0,-5660000000.0,803283000000.0,52205000000.0,,,258000000.0,855746000000.0,16336000000.0,923275000000.0,,606000000.0,940217000000.0,-84471000000.0,495000000.0,19086000000.0,614116000000.0,667060000000.0,30186000000.0,33175000000.0,581036000000.0,644397000000.0,22663000000.0,-4219000000.0,,-71687000000.0,532112000000.0,460425000000.0,70638000000.0,60855000000.0,4558000000.0,714000000.0,513000000.0,-127000000.0,,1910000000.0,,-1727000000.0,-17085000000.0,,,-329851000000.0,244038000000.0,-40096000000.0,-5660000000.0,,,,16412000000.0,16373000000.0,444013000000.0,515739000000.0,,-71687000000.0,,,,,52449000000.0,,,,,,,,,,,,,,,,招商银行股份有限公司,600036,招商银行,2017-01-01
11,2018-03-15,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,6612104008.01,,169191270.16,6781295278.17,5913491790.66,123680027.07,78354786.45,293584024.19,6409110628.37,372184649.8,3027995145.24,99117361.17,,,12663585.6,3139776092.01,330295346.4,4523979627.82,,2601375.04,4856876349.26,-1717100257.25,1742299991.95,2762884894.11,425974956.7,4931159842.76,1330000000.0,64617170.02,618293024.67,2012910194.69,2918249648.07,-31338877.13,,1541995163.49,551964328.21,2093959491.7,331323666.1,52812114.75,287756834.32,65522178.94,18948219.78,0.0,0.0,-3752969.24,34726441.11,-46700815.66,0.0,0.0,-142811907.14,-9117843.75,-125977461.01,-90543808.4,372184649.8,0.0,0.0,0.0,2093959491.7,551964328.21,0.0,0.0,,1541995163.49,,,,,,,,,,,,,,,,,,,,,鹏欣环球资源股份有限公司,600490,鹏欣资源,2017-01-01
12,2018-03-28,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,64421479343.02,,542162210.47,67369462511.81,4875768504.16,5489606122.48,23065648503.05,2940296363.54,45216426427.68,22153036084.13,,,16450.0,,21430672.95,21447122.95,1125017192.45,,,17075145.1,1142092337.55,-1120645214.6,6000000.0,,,6000000.0,,8905177880.8,,8905177880.8,-8899177880.8,72948.86,,12133285937.59,62794794812.99,74928080750.58,29006423236.0,-8053703.95,1035052733.45,80522705.77,10259101.97,0.0,3291895.5,0.0,0.0,0.0,343741758.91,0.0,-1435229550.91,-458728523.99,-6424243568.62,,22153036084.13,0.0,0.0,0.0,74928080750.58,62794794812.99,0.0,0.0,,12133285937.59,-316204577.99,,,,,,,,,2722025536.31,,,-28393350.8,8727170068.53,,146330216.72,,,,,贵州茅台酒股份有限公司,600519,贵州茅台,2017-01-01
13,2018-03-27,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,3203436041.33,146927866.01,138937637.56,3489301544.9,128827360.25,1489738675.6,334432160.74,731426316.82,2684424513.41,804877031.49,6193067798.9,94571926.75,1726290.37,112639016.29,25341113.87,6427346146.18,97811720.16,6696480791.28,299446563.22,14000000.0,7107739074.66,-680392928.48,126453545.0,,2506250.0,128959795.0,,74439858.0,18000000.0,92439858.0,36519937.0,-5411518.39,,155592521.62,342248715.46,497841237.08,433294103.19,13660980.71,49976852.42,8167794.95,2007000.92,522977.43,0.0,21451956.21,-571598.14,-270625731.49,29938.29,11075799.65,5589855.33,84393530.23,375836537.28,70067034.51,804877031.49,0.0,0.0,0.0,497841237.08,342248715.46,0.0,0.0,,155592521.62,,,,,,,,,,,,,,,,,,,,,恒生电子股份有限公司,600570,恒生电子,2017-01-01
14,2018-03-21,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,,,1176573000000.0,1176573000000.0,,58046000000.0,65231000000.0,932013000000.0,1055290000000.0,121283000000.0,1959142000000.0,164831000000.0,,,1556000000.0,2125529000000.0,19257000000.0,2435128000000.0,,25911000000.0,2480296000000.0,-354767000000.0,5595000000.0,,405497000000.0,1364731000000.0,1147255000000.0,37387000000.0,1501000000.0,1186143000000.0,178588000000.0,-3992000000.0,,-58888000000.0,367552000000.0,308664000000.0,99978000000.0,45251000000.0,3312000000.0,2286000000.0,1668000000.0,1000000.0,,-3271000000.0,11167000000.0,-192757000000.0,-8896000000.0,,,-403512000000.0,330430000000.0,234285000000.0,121283000000.0,,,,202471000000.0,301557000000.0,106193000000.0,65995000000.0,,-58888000000.0,,,,,953639000000.0,,,,,,,,,,,,,,,,中国平安保险(集团)股份有限公司,601318,中国平安,2017-01-01
15,2018-03-23,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,,,626009000000.0,626009000000.0,,19024000000.0,8322000000.0,397673000000.0,425019000000.0,200990000000.0,896625000000.0,127026000000.0,103000000.0,,6975000000.0,1030729000000.0,9619000000.0,1178872000000.0,,399000000.0,1204405000000.0,-173676000000.0,4034000000.0,3121000000.0,6228000000.0,13383000000.0,38000000000.0,12970000000.0,8008000000.0,58978000000.0,-45595000000.0,-179000000.0,,-18460000000.0,67046000000.0,48586000000.0,32752000000.0,2846000000.0,1729000000.0,255000000.0,198000000.0,-42000000.0,,-3869000000.0,,-123280000000.0,,,,-1674000000.0,39150000000.0,252867000000.0,200990000000.0,,,,48586000000.0,67046000000.0,,,,-18460000000.0,,,,15515000000.0,,,,,,,,,,,,,,,,,中国人寿保险股份有限公司,601628,中国人寿,2017-01-01
16,2018-03-30,2017-12-31,2017-12-31,071001,合并本期,033003,定期报告,24594249547.53,,654815073.95,25249064621.48,11736234356.47,1770189163.68,2040126797.3,1273702376.44,16820252693.89,8428811927.59,2002812919.34,93330802.88,26990397.07,,,2123134119.29,1066476069.7,4834287613.77,,331596665.0,6232360348.47,-4109226229.18,17858632663.3,10560506152.83,1485196100.0,29904334916.13,11038950687.84,2147305447.6,9346042795.06,22532298930.5,7372035985.63,-330411473.47,,11361210210.57,8420208068.29,19781418278.86,3595615427.82,56601549.76,2909197120.71,1721443177.74,15339312.32,17491578.26,,471765881.2,1647814579.44,-108699021.53,-504380481.65,,-1087660618.33,-710844286.45,263387252.31,141740455.99,8428811927.59,,,,19781418278.86,8420208068.29,,,,11361210210.57,,,,,,,,,,,,,,,,,,,347520438.97,,洛阳栾川钼业集团股份有限公司,603993,洛阳钼业,2017-01-01
